name,mean_ic,ir,p_ic,ls_mean,p_ls,n_win
combined,0.023263946520474907,0.28757909636041656,0.3626753545323709,-0.00042850403618857245,0.8338756868756735,11
agg_sent,0.052234878482213636,0.4887882615668608,0.1360571857281206,0.0015633787544105332,0.688245216662845,11
agg_news,-0.03271987444079851,-0.29202980612151563,0.35560958488363403,0.0009698855518766353,0.7510871158646503,11
momentum,0.07764575849682231,0.5439150408937565,0.1013955589762224,0.003463720973508194,0.27100555132764986,11
-combined (contrarian),-0.023263946520474907,-0.28757909636041656,0.3626753545323709,0.000657478763978669,0.7340538678335085,11
-agg_sent (contrarian),-0.052234878482213636,-0.4887882615668608,0.1360571857281206,-0.0015633787544105332,0.688245216662845,11
combined | high-news,0.04610167976695003,0.2766933452478556,0.38038303388277495,-0.0012592397542022793,0.7034738295315043,11
agg_sent | high-news,0.05069278030128715,0.24176582070332645,0.44127961476648214,7.574793629235263e-05,0.9876465113994203,11
agg_news | high-news,0.027870462448776244,0.1815574004904633,0.5604737505256563,-0.0009136404788089987,0.8050058921471962,11
combined | busy-tercile,0.04211503537314528,0.2512662530841213,0.42410153142790197,0.0022360596372389056,0.43447095393429713,11
agg_news | busy-tercile,0.03347750828735151,0.19592275399462245,0.530462777983363,0.0040193222727133455,0.24563185445098715,11
blend 0.5*sent+0.5*mom,0.06920814747562469,0.7398597348829745,0.03403356192721531,0.003152060408799945,0.2635520995835051,11
blend 0.3*sent+0.7*mom,0.08486953775707574,0.7505903780306618,0.03202163460250357,0.0043039802767278566,0.13028921209969138,11
