ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,fwd_1,fwd_5,fwd_20
DRREDDY.NS,Q3FY26,2025-12-31,2026-01-01,0.062,0.0132,0.0,0.0,21,screener.in (BSE transcript),0.0425,2026-01-01,0.005604483586869602,-0.033626901521216945,-0.04763811048839073
CIPLA.NS,Q3FY26,2025-12-31,2026-01-01,0.3464,0.0325,0.0,0.0,20,screener.in (BSE transcript),0.2209,2026-01-01,0.00672930769761626,-0.024118893255970608,-0.11386501527782766
BRITANNIA.NS,Q3FY26,2025-12-31,2026-02-01,0.1485,0.0,0.0,0.0,22,screener.in (BSE transcript),0.0891,2026-02-01,0.03261817547531831,0.029216814931100732,0.023199023199023117
EICHERMOT.NS,Q3FY26,2025-12-31,2026-02-01,0.4673,0.0776,0.0,0.0,22,screener.in (BSE transcript),0.3114,2026-02-01,0.058045554739162286,0.04570168993387225,0.14621601763409253
HEROMOTOCO.NS,Q3FY26,2025-12-31,2026-02-01,0.4487,-0.0085,0.0,0.0,21,screener.in (BSE transcript),0.2658,2026-02-01,0.033153129568991746,0.04504506552040155,0.02224681148342067
BAJAJ-AUTO.NS,Q3FY26,2025-12-31,2026-02-01,0.6035,-0.0104,0.0,0.0,24,screener.in (BSE transcript),0.3579,2026-02-01,0.05061080847834942,0.01517792937067397,0.028663597418499
DIVISLAB.NS,Q3FY26,2025-12-31,2026-02-01,0.3735,0.1278,0.0,0.0,19,screener.in (BSE transcript),0.2752,2026-02-01,0.015521796565389767,0.003797886393659189,0.035584544253632666
TECHM.NS,Q3FY26,2025-12-31,2026-01-01,0.3919,0.3507,0.0,0.0,22,screener.in (BSE transcript),0.3754,2026-01-01,-0.005648650270600575,-0.017380509000620714,0.06374919377521726
INDUSINDBK.NS,Q3FY26,2025-12-31,2026-01-01,0.5166,-0.0277,0.0,0.0,19,screener.in (BSE transcript),0.2989,2026-01-01,0.010044642857142794,-0.020033495766775933,-0.0078125
APOLLOHOSP.NS,Q3FY26,2025-12-31,2026-02-01,0.2743,-0.1278,0.0,0.0,21,screener.in (BSE transcript),0.1135,2026-02-01,0.022415031443598687,0.04107017369710686,0.1035600602665836
TATACONSUM.NS,Q3FY26,2025-12-31,2026-01-01,0.3359,-0.0811,0.0,0.0,20,screener.in (BSE transcript),0.1691,2026-01-01,-0.010111268100370219,0.017333739991802766,-0.07137392320684488
SBILIFE.NS,Q3FY26,2025-12-31,2026-02-01,0.4838,-0.0221,0.0,0.0,21,screener.in (BSE transcript),0.2814,2026-02-01,0.042534837153366034,0.012268704228676874,0.028136932571543483
HDFCLIFE.NS,Q3FY26,2025-12-31,2026-01-01,0.3717,-0.0978,0.0,0.0,22,screener.in (BSE transcript),0.1839,2026-01-01,0.0020667829749785316,0.011000731024777055,-0.043536292904604146
SHRIRAMFIN.NS,Q3FY26,2025-12-31,2026-01-01,0.1639,0.1026,0.0,0.0,16,screener.in (BSE transcript),0.1394,2026-01-01,-0.010978287387167551,-0.03683825323249568,-0.033715528463497235
ICICIBANK.NS,Q4FY26,2026-03-31,2026-04-01,0.2412,-0.1041,0.0,0.0,32,screener.in (BSE transcript),0.1031,2026-04-01,0.014214046822742521,0.07775919732441472,0.05710706423756262
HINDUNILVR.NS,Q4FY26,2026-03-31,2026-05-01,0.5712,0.0508,0.0,0.0,28,screener.in (BSE transcript),0.363,2026-05-01,0.014412937036490714,0.0036583843465818333,-0.048615998253764725
SBIN.NS,Q4FY26,2026-03-31,2026-05-01,0.3229,-0.0398,0.0,0.0,30,screener.in (BSE transcript),0.1778,2026-05-01,-0.0028205973631104664,-0.053215465963146635,-0.07515350266998999
BHARTIARTL.NS,Q4FY26,2026-03-31,2026-05-01,0.4982,-0.1253,0.0,0.0,31,screener.in (BSE transcript),0.2488,2026-05-01,-0.024129805867012744,-0.03160364761639001,-0.023062114188530214
KOTAKBANK.NS,Q4FY26,2026-03-31,2026-05-01,0.3597,0.0274,0.0,0.0,24,screener.in (BSE transcript),0.2268,2026-05-01,-0.020849812678124913,-0.007389780517477962,0.013855898877196404
LT.NS,Q4FY26,2026-03-31,2026-05-01,0.3166,-0.0125,0.0,0.0,33,screener.in (BSE transcript),0.185,2026-05-01,0.014654719375472913,-0.01937406722944046,0.02556847681735719
AXISBANK.NS,Q4FY26,2026-03-31,2026-04-01,0.3301,-0.2083,0.0,0.0,19,screener.in (BSE transcript),0.1147,2026-04-01,0.023412225925070196,0.13127879826939926,0.0797719012342446
BAJFINANCE.NS,Q4FY26,2026-03-31,2026-05-01,0.2943,0.0507,0.0,0.0,20,screener.in (BSE transcript),0.1969,2026-05-01,0.01289845105638765,0.008421303293530302,-0.028408446937929654
MARUTI.NS,Q4FY26,2026-03-31,2026-04-01,0.3755,0.0952,0.0,0.0,13,screener.in (BSE transcript),0.2634,2026-04-01,0.01953345709903953,0.10178384050367262,0.09443861490031469
SUNPHARMA.NS,Q4FY26,2026-03-31,2026-05-01,0.2443,0.1368,0.0,0.0,17,screener.in (BSE transcript),0.2013,2026-05-01,0.004670329670329654,0.003956017127403788,-0.00439560439560438
WIPRO.NS,Q4FY26,2026-03-31,2026-04-01,0.0712,-0.3402,0.0,0.0,14,screener.in (BSE transcript),-0.0934,2026-04-01,0.034120734908136496,0.09553804172305602,0.06246715956159776
NTPC.NS,Q4FY26,2026-03-31,2026-05-01,0.3852,-0.123,0.0,0.0,17,screener.in (BSE transcript),0.1819,2026-05-01,-0.004250030517578107,0.004749984741210911,-0.03275001525878907
POWERGRID.NS,Q4FY26,2026-03-31,2026-05-01,0.2231,0.2146,0.0,0.0,27,screener.in (BSE transcript),0.2197,2026-05-01,0.015605076103453408,-0.00015919679289411182,-0.07324840764331209
M&M.NS,Q4FY26,2026-03-31,2026-05-01,0.3824,0.1494,0.0,0.0,39,screener.in (BSE transcript),0.2892,2026-05-01,-0.005588376177550702,0.03305125339294257,-0.02602586619830749
TATASTEEL.NS,Q4FY26,2026-03-31,2026-05-01,0.4384,-0.2343,0.0,0.0,34,screener.in (BSE transcript),0.1693,2026-05-01,-0.0016467211537100068,0.0044695309195743604,-0.011997151649370985
JSWSTEEL.NS,Q4FY26,2026-03-31,2026-05-01,0.3482,-0.1463,0.0,0.0,25,screener.in (BSE transcript),0.1504,2026-05-01,-0.013693270735524288,-0.0015649452269170805,0.0011737089201877549
ADANIENT.NS,Q4FY26,2026-03-31,2026-04-01,0.0904,-0.4711,0.0,0.0,12,screener.in (BSE transcript),-0.1342,2026-04-01,0.017673140307615576,0.13191132845519604,0.3243212846042749
ADANIPORTS.NS,Q4FY26,2026-03-31,2026-05-01,0.2505,-0.1085,0.0,0.0,31,screener.in (BSE transcript),0.1069,2026-05-01,0.028084629099502934,0.032373604976738024,0.06292589147431227
BAJAJFINSV.NS,Q4FY26,2026-03-31,2026-05-01,0.2478,-0.3137,0.0,0.0,25,screener.in (BSE transcript),0.0232,2026-05-01,0.0061742791731096425,0.03144294622415966,0.026126271734441042
GRASIM.NS,Q4FY26,2026-03-31,2026-05-01,0.5402,0.1565,0.0,0.0,21,screener.in (BSE transcript),0.3867,2026-05-01,0.009269162210338688,0.05315511502896619,0.12349372632575761
