window,ret,turnover
apr-A,0.00039604234066377387,1.0
apr-B,0.006540280181750762,1.0
feb-A,0.0013614920736499479,1.0
feb-B,-0.001166494923651759,1.0
jan-A,0.003284397590884408,0.9999999999999999
jan-B,0.005636958244406384,1.0
jun-A,-0.0019874967182979004,0.9999999999999999
mar-A,0.0005758225486813444,1.0
mar-B,-0.0017646725308992743,1.0
may-A,-0.00138506930416069,1.0
may-B,0.0009639423632404821,1.0
