ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings
HINDUNILVR.NS,Q4FY26,2026-03-31,2026-05-01,0.5712,0.0508,0.0,0.0,28,screener.in (BSE transcript),0.363
SBIN.NS,Q4FY26,2026-03-31,2026-05-01,0.3229,-0.0398,0.0,0.0,30,screener.in (BSE transcript),0.1778
BHARTIARTL.NS,Q4FY26,2026-03-31,2026-05-01,0.4982,-0.1253,0.0,0.0,31,screener.in (BSE transcript),0.2488
KOTAKBANK.NS,Q4FY26,2026-03-31,2026-05-01,0.3597,0.0274,0.0,0.0,24,screener.in (BSE transcript),0.2268
LT.NS,Q4FY26,2026-03-31,2026-05-01,0.3166,-0.0125,0.0,0.0,33,screener.in (BSE transcript),0.185
AXISBANK.NS,Q4FY26,2026-03-31,2026-04-01,0.3301,-0.2083,0.0,0.0,19,screener.in (BSE transcript),0.1147
BAJFINANCE.NS,Q4FY26,2026-03-31,2026-05-01,0.2943,0.0507,0.0,0.0,20,screener.in (BSE transcript),0.1969
MARUTI.NS,Q4FY26,2026-03-31,2026-04-01,0.3755,0.0952,0.0,0.0,13,screener.in (BSE transcript),0.2634
SUNPHARMA.NS,Q4FY26,2026-03-31,2026-05-01,0.2443,0.1368,0.0,0.0,17,screener.in (BSE transcript),0.2013
WIPRO.NS,Q4FY26,2026-03-31,2026-04-01,0.0712,-0.3402,0.0,0.0,14,screener.in (BSE transcript),-0.0934
NTPC.NS,Q4FY26,2026-03-31,2026-05-01,0.3852,-0.123,0.0,0.0,17,screener.in (BSE transcript),0.1819
POWERGRID.NS,Q4FY26,2026-03-31,2026-05-01,0.2231,0.2146,0.0,0.0,27,screener.in (BSE transcript),0.2197
M&M.NS,Q4FY26,2026-03-31,2026-05-01,0.3824,0.1494,0.0,0.0,39,screener.in (BSE transcript),0.2892
TATASTEEL.NS,Q4FY26,2026-03-31,2026-05-01,0.4384,-0.2343,0.0,0.0,34,screener.in (BSE transcript),0.1693
JSWSTEEL.NS,Q4FY26,2026-03-31,2026-05-01,0.3482,-0.1463,0.0,0.0,25,screener.in (BSE transcript),0.1504
ADANIENT.NS,Q4FY26,2026-03-31,2026-04-01,0.0904,-0.4711,0.0,0.0,12,screener.in (BSE transcript),-0.1342
ADANIPORTS.NS,Q4FY26,2026-03-31,2026-05-01,0.2505,-0.1085,0.0,0.0,31,screener.in (BSE transcript),0.1069
BAJAJFINSV.NS,Q4FY26,2026-03-31,2026-05-01,0.2478,-0.3137,0.0,0.0,25,screener.in (BSE transcript),0.0232
GRASIM.NS,Q4FY26,2026-03-31,2026-05-01,0.5402,0.1565,0.0,0.0,21,screener.in (BSE transcript),0.3867
HINDALCO.NS,Q4FY26,2026-03-31,2026-05-01,0.4895,-0.2381,0.0,0.0,20,screener.in (BSE transcript),0.1985
DRREDDY.NS,Q4FY26,2026-03-31,2026-05-01,-0.0808,-0.0821,0.0,0.0,19,screener.in (BSE transcript),-0.0813
CIPLA.NS,Q4FY26,2026-03-31,2026-05-01,0.4782,0.2155,0.0,0.0,20,screener.in (BSE transcript),0.3731
BRITANNIA.NS,Q4FY26,2026-03-31,2026-05-01,0.1283,-0.1542,0.0,0.0,22,screener.in (BSE transcript),0.0153
EICHERMOT.NS,Q4FY26,2026-03-31,2026-05-01,0.4977,0.0933,0.0,0.0,22,screener.in (BSE transcript),0.336
HEROMOTOCO.NS,Q4FY26,2026-03-31,2026-05-01,0.4371,-0.1,0.0,0.0,21,screener.in (BSE transcript),0.2223
BAJAJ-AUTO.NS,Q4FY26,2026-03-31,2026-05-01,0.6557,0.053,0.0,0.0,27,screener.in (BSE transcript),0.4146
DIVISLAB.NS,Q4FY26,2026-03-31,2026-05-01,0.3103,-0.1439,0.0,0.0,19,screener.in (BSE transcript),0.1286
TECHM.NS,Q4FY26,2026-03-31,2026-04-01,0.4538,0.3605,0.0,0.0,40,screener.in (BSE transcript),0.4165
INDUSINDBK.NS,Q4FY26,2026-03-31,2026-04-01,0.3572,-0.0984,0.0,0.0,19,screener.in (BSE transcript),0.175
TATACONSUM.NS,Q4FY26,2026-03-31,2026-05-01,0.4239,-0.117,0.0,0.0,20,screener.in (BSE transcript),0.2076
SBILIFE.NS,Q4FY26,2026-03-31,2026-04-01,0.4516,-0.0119,0.0,0.0,25,screener.in (BSE transcript),0.2662
SHRIRAMFIN.NS,Q4FY26,2026-03-31,2026-05-01,0.2059,-0.3508,0.0,0.0,18,screener.in (BSE transcript),-0.0168
BPCL.NS,Q4FY26,2026-03-31,2026-05-01,0.351,-0.2431,0.0,0.0,22,screener.in (BSE transcript),0.1133
