ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,qkey,surprise_finbert,surprise_agg,fwd_1,fwd_5,fwd_20
ASIANPAINT.NS,Q3FY26,2025-12-31,2026-02-01,0.3141,0.0939,0,0,22,screener.in (BSE transcript),0.226,2026-02-01,"(26, 3)",-0.014900000000000024,-0.06870000000000001,0.06320265581932216,0.012253143221602869,-0.03153817402600312
AXISBANK.NS,Q2FY25,2024-09-30,2024-10-01,0.3936,-0.1511,0,0,20,screener.in (BSE transcript),0.1757,2024-10-01,"(25, 2)",-0.13120000000000004,-0.0986,-0.026501046605529988,-0.02525881853598566,-0.034782605469378725
AXISBANK.NS,Q3FY25,2024-12-31,2025-01-01,0.4237,-0.2051,0,0,25,screener.in (BSE transcript),0.1722,2025-01-01,"(25, 3)",0.030100000000000016,-0.003500000000000003,0.013059713868047274,0.007089549059273503,-0.08148316476841988
AXISBANK.NS,Q4FY25,2025-03-31,2025-04-01,0.4649,-0.0958,0,0,24,screener.in (BSE transcript),0.2406,2025-04-01,"(25, 4)",0.04119999999999996,0.06840000000000002,-0.011724791243459154,-0.01703756855114391,0.07905110196801535
AXISBANK.NS,Q1FY26,2025-06-30,2025-07-01,0.3371,-0.2923,0,0,17,screener.in (BSE transcript),0.0853,2025-07-01,"(26, 1)",-0.12779999999999997,-0.1553,-0.0016949546963240802,-0.016109048804965664,-0.09202132478078939
AXISBANK.NS,Q2FY26,2025-09-30,2025-10-01,0.4832,-0.01,0,0,20,screener.in (BSE transcript),0.2859,2025-10-01,"(26, 2)",0.1461,0.2006,0.011955593509820561,-0.002561912894961549,0.046968403074295395
AXISBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.2788,-0.0748,0,0,26,screener.in (BSE transcript),0.1374,2026-01-01,"(26, 3)",-0.20440000000000003,-0.1485,0.0002354397928130414,0.010126402517337318,0.05110289217231201
AXISBANK.NS,Q4FY26,2026-03-31,2026-04-01,0.3301,-0.2083,0,0,19,screener.in (BSE transcript),0.1147,2026-04-01,"(26, 4)",0.05130000000000001,-0.022699999999999998,0.023412225925070196,0.13127879826939926,0.0797719012342446
BAJAJ-AUTO.NS,Q2FY25,2024-09-30,2024-10-01,0.3843,-0.0102,0,0,26,screener.in (BSE transcript),0.2265,2024-10-01,"(25, 2)",-0.23250000000000004,-0.1258,-0.006034795010734784,0.0076286904769597985,-0.15274461692923458
BAJAJ-AUTO.NS,Q3FY25,2024-12-31,2025-02-01,0.3355,-0.0234,0,0,27,screener.in (BSE transcript),0.1919,2025-02-01,"(25, 3)",-0.048799999999999955,-0.03460000000000002,-0.02185796912782012,-0.01755196433144257,-0.16370494491515142
BAJAJ-AUTO.NS,Q1FY26,2025-06-30,2025-08-01,0.453,0.093,0,0,26,screener.in (BSE transcript),0.309,2025-08-01,"(26, 1)",0.1175,0.11710000000000001,0.016346581400211724,0.023680771663982192,0.12524084327534624
BAJAJ-AUTO.NS,Q2FY26,2025-09-30,2025-11-01,0.577,0.0276,0,0,23,screener.in (BSE transcript),0.3572,2025-11-01,"(26, 2)",0.12399999999999994,0.04820000000000002,0.0022471690900935926,-0.009101101927235677,0.022471843181159468
BAJAJ-AUTO.NS,Q3FY26,2025-12-31,2026-02-01,0.6035,-0.0104,0,0,24,screener.in (BSE transcript),0.3579,2026-02-01,"(26, 3)",0.02650000000000008,0.0006999999999999784,0.05061080847834942,0.01517792937067397,0.028663597418499
BAJAJ-AUTO.NS,Q4FY26,2026-03-31,2026-05-01,0.6557,0.053,0,0,27,screener.in (BSE transcript),0.4146,2026-05-01,"(26, 4)",0.05219999999999991,0.05670000000000003,-0.011030861681234905,0.03465441303147765,0.039415183852918645
BAJAJFINSV.NS,Q2FY25,2024-09-30,2024-10-01,0.1633,-0.322,0,0,25,screener.in (BSE transcript),-0.0308,2024-10-01,"(25, 2)",-0.3355,-0.23099999999999998,-0.02432430507091843,-0.04395716436380315,-0.11004591047497203
BAJAJFINSV.NS,Q3FY25,2024-12-31,2025-02-01,0.3398,-0.2949,0,0,25,screener.in (BSE transcript),0.0859,2025-02-01,"(25, 3)",0.1765,0.1167,0.03746393510391499,0.04028821457695364,0.054610940179188106
BAJAJFINSV.NS,Q4FY25,2025-03-31,2025-05-01,0.3025,-0.2544,0,0,25,screener.in (BSE transcript),0.0797,2025-05-01,"(25, 4)",-0.0373,-0.006200000000000011,0.005063973565858193,0.00767264459709649,0.0285933793162767
