date,ticker,agg_sent,agg_news,divergence,label,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-01-12,RELIANCE.NS,-0.7361,-0.3321,0.4039,OVERREACTION (Fundamental Stable / Retail Panic),12,9,-0.8867,-0.4565,-0.6859,0.0674,False,-0.5341,,-0.016450845982795115,-0.06013561856708782,jan-A,-0.013620127373839795,-0.35706979166666675
2026-01-12,TCS.NS,-0.1169,-0.1005,0.0164,NEUTRAL,7,7,-0.8635,0.5714,-0.4779,0.2591,False,-0.1087,,-0.014538882409206755,0.007306929667668438,jan-A,-0.011708163800251435,0.0683302083333333
2026-01-12,HDFCBANK.NS,-0.7003,-0.0866,0.6138,OVERREACTION (Fundamental Stable / Retail Panic),9,8,-0.9326,-0.2333,-0.42,0.2295,False,-0.39345,,-0.0122738403373025,-0.041483396948927,jan-A,-0.00944312172834718,-0.21641979166666672
2026-01-12,INFY.NS,-0.5183,-0.3014,0.2168,OVERREACTION (Fundamental Stable / Retail Panic),7,6,-0.8954,0.1292,-0.7399,0.2357,False,-0.40985,,0.002443755030593797,-0.006536347554758182,jan-A,0.005274473639549117,-0.2328197916666667
2026-01-12,ICICIBANK.NS,0.1012,-0.1202,0.2214,"DIVERGENT (sent=+0.10, news=-0.12)",6,6,-0.7375,0.8174,-0.5759,0.3419,False,-0.009500000000000001,,0.003750653824707184,0.030331735753508893,jan-A,0.006581372433662504,0.1675302083333333
2026-01-12,HINDUNILVR.NS,-0.6065,-0.1202,0.4862,OVERREACTION (Fundamental Stable / Retail Panic),7,6,-0.889,0.0077,-0.5325,0.2947,False,-0.36335,,-0.021901733954490687,0.009269683574674836,jan-A,-0.019071015345535368,-0.1863197916666667
2026-01-12,ITC.NS,-0.5381,-0.1185,0.4197,OVERREACTION (Fundamental Stable / Retail Panic),7,6,-0.8635,0.2124,-0.5479,0.3687,False,-0.32830000000000004,,-0.010786033325372868,-0.03231340707246988,jan-A,-0.007955314716417548,-0.15126979166666674
2026-01-12,SBIN.NS,0.6095,-0.1731,0.7826,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),9,8,0.0083,0.8481,-0.5371,0.163,False,0.2182,,0.013002969996625646,0.009547045221574235,jan-A,0.015833688605580966,0.39523020833333333
2026-01-12,BHARTIARTL.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.5771,-0.6936,0.4393,False,-0.2183,,-0.010518590998043087,-0.028978622327791026,jan-A,-0.007687872389087767,-0.041269791666666694
2026-01-12,KOTAKBANK.NS,0.0024,-0.125,0.1274,NEUTRAL,6,6,-0.7629,0.7435,-0.5839,0.3535,False,-0.0613,,-0.013265840747968882,-0.02629054088783045,jan-A,-0.010435122139013563,0.1157302083333333
2026-01-12,LT.NS,-0.6492,-0.1518,0.4974,OVERREACTION (Fundamental Stable / Retail Panic),6,5,-0.9246,0.3053,-0.6487,0.4393,False,-0.40049999999999997,,-0.03811891005546297,-0.031659522875278956,jan-A,-0.035288191446507654,-0.22346979166666667
2026-01-12,AXISBANK.NS,-0.0534,-0.1518,0.0984,NEUTRAL,6,5,-0.777,0.7571,-0.6511,0.5072,False,-0.1026,,0.019306308741909417,-0.009021696388036626,jan-A,0.022137027350864737,0.0744302083333333
2026-01-12,BAJFINANCE.NS,-0.4711,0.0747,0.5458,OVERREACTION (Fundamental Stable / Retail Panic),6,6,-0.8971,0.3163,-0.5325,0.678,False,-0.19820000000000002,,-0.006250669245117191,-0.027432925247445672,jan-A,-0.003419950636161871,-0.021169791666666715
2026-01-12,ASIANPAINT.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.5771,-0.6936,0.4564,False,-0.2183,,-0.028483635817430297,0.028697187769938903,jan-A,-0.025652917208474978,-0.041269791666666694
2026-01-12,MARUTI.NS,0.0491,-0.1219,0.171,NEUTRAL,6,6,-0.7247,0.7752,-0.5764,0.3409,False,-0.0364,,-0.025931733204679785,-0.03340134071699208,jan-A,-0.023101014595724466,0.14063020833333328
2026-01-12,HCLTECH.NS,0.3496,0.194,0.1555,NEUTRAL,8,7,-0.3935,0.7526,-0.4365,0.7689,False,0.27180000000000004,,0.0005397525944832449,0.0373226341423567,jan-A,0.0033704712034385645,0.4488302083333333
2026-01-12,SUNPHARMA.NS,0.1687,-0.1518,0.3205,"DIVERGENT (sent=+0.17, news=-0.15)",6,5,-0.7253,0.8328,-0.6511,0.4477,False,0.00845,,-0.02033408190747188,0.004106598884487722,jan-A,-0.01750336329851656,0.18548020833333329
2026-01-12,TITAN.NS,0.409,-0.0748,0.4838,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),13,10,-0.0688,0.7492,-0.3619,0.1976,False,0.16709999999999997,,-0.00238682706852289,0.037233166238302084,jan-A,0.0004438915404324298,0.3441302083333333
2026-01-12,WIPRO.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8433,0.5771,-0.5965,0.4477,False,-0.2183,,-0.011022356101049957,-0.0007595113398205511,jan-A,-0.008191637492094637,-0.041269791666666694
2026-01-12,ULTRACEMCO.NS,-0.6256,-0.4377,0.1879,BEARISH (Confirmed),7,7,-0.9186,0.0335,-0.8404,0.1019,False,-0.53165,,0.012977351628368217,0.0009100686688177095,jan-A,0.015808070237323536,-0.3546197916666667
2026-01-12,NESTLEIND.NS,0.0197,-0.1185,0.1382,NEUTRAL,7,6,-0.8008,0.6785,-0.5391,0.3535,False,-0.0494,,-0.004038454956428406,-0.0016734552467653208,jan-A,-0.001207736347473086,0.1276302083333333
2026-01-12,ONGC.NS,-0.4865,-0.2352,0.2512,OVERREACTION (Fundamental Stable / Retail Panic),9,8,-0.8979,0.0475,-0.6117,0.1879,False,-0.36085,,0.05311607349501668,-0.009996174416185166,jan-A,0.055946792103972,-0.1838197916666667
2026-01-12,NTPC.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.85,0.5789,-0.6406,0.4393,False,-0.2183,,0.03452366145604824,-0.03750718271349762,jan-A,0.03735438006500356,-0.041269791666666694
2026-01-12,POWERGRID.NS,0.1194,-0.1147,0.2341,"DIVERGENT (sent=+0.12, news=-0.11)",7,6,-0.7731,0.7205,-0.5469,0.3288,False,0.002350000000000005,,-0.0007735036708451659,-0.04822383868778879,jan-A,0.0020572149381101537,0.1793802083333333
2026-01-12,M&M.NS,-0.2586,-0.1518,0.1068,NEUTRAL,7,5,-0.8337,0.4883,-0.6511,0.4479,False,-0.2052,,-0.008826724606192271,-0.028572948693496913,jan-A,-0.0059960059972369514,-0.028169791666666694
2026-01-12,TATASTEEL.NS,-0.3661,-0.2291,0.137,NEUTRAL,8,8,-0.8471,0.3352,-0.6181,0.177,False,-0.2976,,0.03279844938444687,-0.013353418175692244,jan-A,0.03562916799340219,-0.12056979166666668
2026-01-12,JSWSTEEL.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8581,0.65,-0.6511,0.5072,False,-0.2183,,-0.0007608881211657037,-0.00269843424935301,jan-A,0.002069830487789616,-0.041269791666666694
2026-01-12,ADANIENT.NS,-0.3668,-0.2609,0.1059,BEARISH (Confirmed),8,8,-0.8451,0.3725,-0.6402,0.1732,False,-0.31385,,-0.008427044329263,-0.04733484851423375,jan-A,-0.005596325720307681,-0.13681979166666672
2026-01-12,ADANIPORTS.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.85,0.65,-0.6511,0.4477,False,-0.2183,,-0.00935227941004757,-0.03315470551041122,jan-A,-0.006521560801092251,-0.041269791666666694
2026-01-12,COALINDIA.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.65,-0.6511,0.4477,False,-0.2183,,-0.000231245939963598,0.011346335178803901,jan-A,0.0025994726689917216,-0.041269791666666694
2026-01-12,BAJAJFINSV.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.5716,-0.6511,0.4479,False,-0.2183,,0.0010005502904459895,-0.019762616576492698,jan-A,0.003831268899401309,-0.041269791666666694
2026-01-12,GRASIM.NS,-0.5467,-0.1414,0.4053,OVERREACTION (Fundamental Stable / Retail Panic),6,6,-0.8753,0.229,-0.6395,0.3876,False,-0.34404999999999997,,-0.003883529601801161,-0.014812718108192513,jan-A,-0.0010528109928458415,-0.16701979166666667
2026-01-12,HINDALCO.NS,0.1741,-0.1202,0.2943,"DIVERGENT (sent=+0.17, news=-0.12)",9,6,-0.5204,0.6787,-0.5391,0.3256,False,0.02695,,0.03825457831649759,-0.012396680950565675,jan-A,0.04108529692545291,0.2039802083333333
2026-01-12,DRREDDY.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.65,-0.6511,0.4393,False,-0.2183,,-0.023858494446729717,-0.027599999999999958,jan-A,-0.021027775837774397,-0.041269791666666694
