date,ticker,agg_sent,agg_news,divergence,label,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-01-12,RELIANCE.NS,-0.5992,-0.3482,0.251,OVERREACTION (Fundamental Stable / Retail Panic),8,6,-0.8386,-0.082,-0.7632,0.2894,False,-0.4737,,-0.016450845982795115,-0.06013561856708782,jan-A,-0.013620127373839795,-0.27959895833333337
2026-01-12,TCS.NS,-0.1169,-0.1005,0.0164,NEUTRAL,7,7,-0.86,0.5533,-0.4872,0.2679,False,-0.1087,,-0.014538882409206755,0.007306929667668438,jan-A,-0.011708163800251435,0.08540104166666664
2026-01-12,HDFCBANK.NS,-0.5197,-0.1218,0.3978,OVERREACTION (Fundamental Stable / Retail Panic),6,6,-0.9152,0.2306,-0.5745,0.3818,False,-0.32075000000000004,,-0.0122738403373025,-0.041483396948927,jan-A,-0.00944312172834718,-0.1266489583333334
2026-01-12,INFY.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.65,-0.6511,0.4395,False,-0.2183,,0.002443755030593797,-0.006536347554758182,jan-A,0.005274473639549117,-0.024198958333333354
2026-01-12,ICICIBANK.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.5771,-0.6487,0.5072,False,-0.2183,,0.003750653824707184,0.030331735753508893,jan-A,0.006581372433662504,-0.024198958333333354
2026-01-12,HINDUNILVR.NS,-0.5398,-0.1518,0.388,OVERREACTION (Fundamental Stable / Retail Panic),6,5,-0.9061,0.342,-0.6511,0.4479,False,-0.3458,,-0.021901733954490687,0.009269683574674836,jan-A,-0.019071015345535368,-0.15169895833333336
2026-01-12,ITC.NS,-0.5381,-0.1185,0.4197,OVERREACTION (Fundamental Stable / Retail Panic),7,6,-0.8693,0.1482,-0.5685,0.3206,False,-0.32830000000000004,,-0.010786033325372868,-0.03231340707246988,jan-A,-0.007955314716417548,-0.1341989583333334
2026-01-12,SBIN.NS,0.5969,-0.0932,0.6901,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),8,7,-0.1377,0.8482,-0.4556,0.2506,False,0.25185,,0.013002969996625646,0.009547045221574235,jan-A,0.015833688605580966,0.44595104166666666
2026-01-12,BHARTIARTL.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.65,-0.6521,0.4477,False,-0.2183,,-0.010518590998043087,-0.028978622327791026,jan-A,-0.007687872389087767,-0.024198958333333354
2026-01-12,KOTAKBANK.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.5771,-0.6511,0.4477,False,-0.2183,,-0.013265840747968882,-0.02629054088783045,jan-A,-0.010435122139013563,-0.024198958333333354
2026-01-12,LT.NS,-0.6492,-0.1518,0.4974,OVERREACTION (Fundamental Stable / Retail Panic),6,5,-0.9203,0.3772,-0.6936,0.4393,False,-0.40049999999999997,,-0.03811891005546297,-0.031659522875278956,jan-A,-0.035288191446507654,-0.20639895833333333
2026-01-12,AXISBANK.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.65,-0.6406,0.4477,False,-0.2183,,0.019306308741909417,-0.009021696388036626,jan-A,0.022137027350864737,-0.024198958333333354
2026-01-12,BAJFINANCE.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.85,0.5771,-0.6487,0.4477,False,-0.2183,,-0.006250669245117191,-0.027432925247445672,jan-A,-0.003419950636161871,-0.024198958333333354
2026-01-12,ASIANPAINT.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.65,-0.6936,0.4477,False,-0.2183,,-0.028483635817430297,0.028697187769938903,jan-A,-0.025652917208474978,-0.024198958333333354
2026-01-12,MARUTI.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.5771,-0.6936,0.4393,False,-0.2183,,-0.025931733204679785,-0.03340134071699208,jan-A,-0.023101014595724466,-0.024198958333333354
2026-01-12,HCLTECH.NS,0.3496,0.194,0.1555,NEUTRAL,8,7,-0.385,0.7446,-0.4211,0.7991,False,0.27180000000000004,,0.0005397525944832449,0.0373226341423567,jan-A,0.0033704712034385645,0.4659010416666667
2026-01-12,SUNPHARMA.NS,0.1687,-0.1518,0.3205,"DIVERGENT (sent=+0.17, news=-0.15)",6,5,-0.7378,0.8326,-0.6511,0.4564,False,0.00845,,-0.02033408190747188,0.004106598884487722,jan-A,-0.01750336329851656,0.20255104166666665
2026-01-12,TITAN.NS,0.3331,-0.0914,0.4245,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),11,8,-0.1903,0.7717,-0.4362,0.2542,False,0.12085000000000001,,-0.00238682706852289,0.037233166238302084,jan-A,0.0004438915404324298,0.31495104166666665
2026-01-12,WIPRO.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.85,0.65,-0.6511,0.4477,False,-0.2183,,-0.011022356101049957,-0.0007595113398205511,jan-A,-0.008191637492094637,-0.024198958333333354
2026-01-12,ULTRACEMCO.NS,-0.5494,-0.3288,0.2206,OVERREACTION (Fundamental Stable / Retail Panic),6,6,-0.9067,0.3429,-0.7461,0.2598,False,-0.4391,,0.012977351628368217,0.0009100686688177095,jan-A,0.015808070237323536,-0.24499895833333335
2026-01-12,NESTLEIND.NS,0.1647,-0.1185,0.2832,"DIVERGENT (sent=+0.16, news=-0.12)",6,6,-0.7155,0.8135,-0.5325,0.3557,False,0.02310000000000001,,-0.004038454956428406,-0.0016734552467653208,jan-A,-0.001207736347473086,0.21720104166666665
2026-01-12,ONGC.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8433,0.5771,-0.6511,0.4477,False,-0.2183,,0.05311607349501668,-0.009996174416185166,jan-A,0.055946792103972,-0.024198958333333354
2026-01-12,NTPC.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.85,0.5771,-0.6936,0.4479,False,-0.2183,,0.03452366145604824,-0.03750718271349762,jan-A,0.03735438006500356,-0.024198958333333354
2026-01-12,POWERGRID.NS,0.1194,-0.1147,0.2341,"DIVERGENT (sent=+0.12, news=-0.11)",7,6,-0.7535,0.7284,-0.5528,0.3543,False,0.002350000000000005,,-0.0007735036708451659,-0.04822383868778879,jan-A,0.0020572149381101537,0.19645104166666666
2026-01-12,M&M.NS,-0.2586,-0.1518,0.1068,NEUTRAL,7,5,-0.8465,0.4564,-0.6511,0.4479,False,-0.2052,,-0.008826724606192271,-0.028572948693496913,jan-A,-0.0059960059972369514,-0.011098958333333353
2026-01-12,TATASTEEL.NS,-0.605,-0.2666,0.3384,OVERREACTION (Fundamental Stable / Retail Panic),7,7,-0.8909,-0.0231,-0.6726,0.2041,False,-0.43579999999999997,,0.03279844938444687,-0.013353418175692244,jan-A,0.03562916799340219,-0.24169895833333332
2026-01-12,JSWSTEEL.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.8547,0.5771,-0.6511,0.4477,False,-0.2183,,-0.0007608881211657037,-0.00269843424935301,jan-A,0.002069830487789616,-0.024198958333333354
2026-01-12,ADANIENT.NS,-0.574,-0.3387,0.2353,OVERREACTION (Fundamental Stable / Retail Panic),6,6,-0.8926,0.3664,-0.7595,0.2597,False,-0.45635,,-0.008427044329263,-0.04733484851423375,jan-A,-0.005596325720307681,-0.26224895833333334
2026-01-12,ADANIPORTS.NS,-0.2848,-0.1518,0.133,NEUTRAL,5,5,-0.85,0.6988,-0.6511,0.5072,False,-0.2183,,-0.00935227941004757,-0.03315470551041122,jan-A,-0.006521560801092251,-0.024198958333333354
