date,ticker,agg_sent,agg_news,divergence,label,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-01-12,RELIANCE.NS,-0.7277,-0.3199,0.4078,OVERREACTION (Fundamental Stable / Retail Panic),13,10,-0.8793,-0.4545,-0.6819,0.057,False,-0.5238,,-0.016450845982795115,-0.06013561856708782,jan-A,-0.013620127781086231,-0.36997604166666676
2026-01-12,TCS.NS,-0.1101,-0.0956,0.0145,NEUTRAL,8,8,-0.8578,0.5961,-0.4704,0.2636,False,-0.10285,,-0.014538881278492677,0.007307086920131045,jan-A,-0.011708163076783793,0.05097395833333332
2026-01-12,HDFCBANK.NS,-0.6876,-0.0829,0.6047,OVERREACTION (Fundamental Stable / Retail Panic),10,9,-0.9206,-0.2015,-0.4242,0.2177,False,-0.38525,,-0.0122738403373025,-0.041483396948927,jan-A,-0.009443122135593616,-0.23142604166666667
2026-01-12,INFY.NS,-0.4999,-0.2832,0.2167,OVERREACTION (Fundamental Stable / Retail Panic),8,7,-0.8709,0.1914,-0.6993,0.2299,False,-0.39155,,0.002443755030593797,-0.006536347554758182,jan-A,0.005274473232302681,-0.2377260416666667
2026-01-12,ICICIBANK.NS,0.1103,-0.1132,0.2235,"DIVERGENT (sent=+0.11, news=-0.11)",7,7,-0.7021,0.8063,-0.5142,0.3151,False,-0.00145,,0.003750653824707184,0.030331735753508893,jan-A,0.0065813720264160675,0.1523739583333333
2026-01-12,HINDUNILVR.NS,-0.5915,-0.1132,0.4783,OVERREACTION (Fundamental Stable / Retail Panic),8,7,-0.8877,0.0446,-0.5079,0.3424,False,-0.35235,,-0.021901733954490687,0.009269683574674836,jan-A,-0.019071015752781802,-0.19852604166666668
2026-01-12,ITC.NS,-0.5226,-0.1117,0.4109,OVERREACTION (Fundamental Stable / Retail Panic),8,7,-0.8529,0.1246,-0.5234,0.2826,False,-0.31715,,-0.010785939765198704,-0.03231349859656951,jan-A,-0.007955221563489821,-0.16332604166666667
2026-01-12,SBIN.NS,0.6097,-0.1658,0.7755,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),10,9,0.0119,0.8485,-0.5153,0.1472,False,0.22195,,0.013002969996625646,0.009547045221574235,jan-A,0.01583368819833453,0.3757739583333333
2026-01-12,BHARTIARTL.NS,-0.2619,-0.1408,0.1211,NEUTRAL,6,6,-0.815,0.7004,-0.6336,0.3896,False,-0.20135000000000003,,-0.010518590998043087,-0.028978622327791026,jan-A,-0.0076878727963342035,-0.04752604166666671
2026-01-12,KOTAKBANK.NS,0.0143,-0.1174,0.1318,NEUTRAL,7,7,-0.7367,0.7766,-0.5208,0.3121,False,-0.05155,,-0.013265840747968882,-0.02629054088783045,jan-A,-0.010435122546259999,0.10227395833333332
2026-01-12,LT.NS,-0.6346,-0.1408,0.4938,OVERREACTION (Fundamental Stable / Retail Panic),7,6,-0.9046,0.3806,-0.6277,0.403,False,-0.38770000000000004,,-0.03811891005546297,-0.031659522875278956,jan-A,-0.03528819185375409,-0.23387604166666673
2026-01-12,AXISBANK.NS,-0.0395,-0.1408,0.1013,NEUTRAL,7,6,-0.7145,0.7652,-0.6354,0.3545,False,-0.09015000000000001,,0.019306308741909417,-0.009021696388036626,jan-A,0.022137026943618302,0.06367395833333331
2026-01-12,BAJFINANCE.NS,-0.451,0.0703,0.5213,OVERREACTION (Fundamental Stable / Retail Panic),7,7,-0.8755,0.35,-0.4799,0.6347,False,-0.19035000000000002,,-0.006250669245117191,-0.027432925247445672,jan-A,-0.003419951043408307,-0.0365260416666667
2026-01-12,ASIANPAINT.NS,-0.351,-0.1408,0.2103,OVERREACTION (Fundamental Stable / Retail Panic),7,6,-0.8297,0.3845,-0.6044,0.412,False,-0.2459,,-0.028483635817430297,0.028697187769938903,jan-A,-0.025652917615721412,-0.09207604166666669
2026-01-12,MARUTI.NS,0.0598,-0.1147,0.1745,NEUTRAL,7,7,-0.7411,0.7905,-0.5143,0.3157,False,-0.02745,,-0.025931733204679785,-0.03340134071699208,jan-A,-0.0231010150029709,0.1263739583333333
2026-01-12,HCLTECH.NS,0.3519,0.1839,0.168,NEUTRAL,9,8,-0.3514,0.7845,-0.3778,0.729,False,0.2679,,0.0005396774514239144,0.037322714999168616,jan-A,0.0033703956531327983,0.4217239583333333
2026-01-12,SUNPHARMA.NS,0.1761,-0.1408,0.3168,"DIVERGENT (sent=+0.18, news=-0.14)",7,6,-0.7303,0.8106,-0.6121,0.356,False,0.01765,,-0.02033408190747188,0.004106598884487722,jan-A,-0.017503363705762994,0.17147395833333332
2026-01-12,TITAN.NS,0.4104,-0.0721,0.4824,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),14,11,-0.0316,0.7759,-0.3423,0.1944,False,0.16915,,-0.00238682706852289,0.037233166238302084,jan-A,0.000443891133185994,0.3229739583333333
2026-01-12,WIPRO.NS,-0.2619,-0.1408,0.1211,NEUTRAL,6,6,-0.815,0.6499,-0.6074,0.4339,False,-0.20135000000000003,,-0.011022356101049957,-0.0007595113398205511,jan-A,-0.008191637899341074,-0.04752604166666671
