window,n,ic_sent,ic_mom,ls_sent,ls_mom
jan-A,48,0.13703658879664812,0.11951801997394704,-0.0015915285616947992,0.00270195743782613
jan-B,48,0.002065668841994019,-0.18323925314806774,0.0016343892181464705,0.0014636145325841888
feb-A,48,-0.07009066982826577,0.12168910117238384,0.004510439489738505,0.010649772313866369
feb-B,48,0.022287479610988103,-0.014980460269214069,0.002263569023618595,-0.009927298746494496
mar-A,48,0.029823380504760903,0.2808293530178029,0.009896556948422331,0.003432802123235046
mar-B,48,0.024896745516664754,0.18269648284845852,0.007806094953107025,0.02459272852941818
apr-A,48,-0.11332919210754414,-0.05492835432045158,-0.007844098854690396,-0.011110894857318466
apr-B,48,0.16337386018237082,0.012375162831089881,0.0018141608895082323,0.00579015991570091
may-A,48,0.05438560480276266,0.1855188884064264,-0.009255935646596904,0.0025010844391256445
may-B,48,0.042635984560736785,-0.03267477203647416,-0.006463697798695045,-0.0019471867257878847
jun-A,48,-0.03718203915589234,0.2372991749891446,-0.007483518029649838,0.00995417542932342
