window,n,ic_sent,ic_mom,ls_sent,ls_mom
jan-A,48,0.1258299443773907,0.11951801997394704,0.00357747035332543,0.0027019424092142637
jan-B,48,0.00446089729310248,-0.18323925314806774,0.006331837431560516,0.0014636145325841888
feb-A,48,-0.06379282497925041,0.12168910117238384,0.0041988773642712696,0.010649772313866369
feb-B,48,0.035068799682961636,-0.014980460269214069,0.002263569023618595,-0.009927298746494496
mar-A,48,0.009432257453973742,0.2808293530178029,0.006163833157782638,0.003432802123235046
mar-B,48,-0.010564203631202728,0.18269648284845852,0.0037393422693381435,0.02459272852941818
apr-A,48,-0.0912756293161997,-0.05492835432045158,-0.0036070907000816284,-0.011110894857318466
apr-B,48,0.14480007160776837,0.012375162831089881,0.008822747700921264,0.00579015991570091
may-A,48,0.05438560480276266,0.1855188884064264,-0.009255935646596904,0.0025010844391256445
may-B,48,0.06355908031166238,-0.03267477203647416,0.001417662368233999,-0.0019471867257878847
jun-A,48,-0.0030494608419966637,0.2372991749891446,-0.004995941713473084,0.00995417542932342
