window,n,ic_sent,ic_mom,ls_sent,ls_mom
jan-A,48,0.05561645973262406,0.11951801997394704,-0.005733672519628375,0.00270195743782613
jan-B,48,0.11238438587815923,-0.18323925314806774,0.007867052665884455,0.0014636145325841888
feb-A,48,0.020829809262192096,0.12168910117238384,0.0021008749680101035,0.010649772313866369
feb-B,33,0.08489304812834225,-0.1360294117647059,0.00028436583353024306,-0.008749002302098963
mar-A,27,-0.033577533577533576,0.39072039072039066,-0.004306742419837771,0.014242374923947866
mar-B,48,-0.04001799293291685,0.18269648284845852,-0.0025856425741568323,0.02459272852941818
apr-A,48,-0.15149797210847304,-0.05492835432045158,-0.0027485451147159397,-0.011110894857318466
apr-B,48,0.19534530065042244,0.012375162831089881,0.01541055817514523,0.00579015991570091
may-A,48,0.13001532701119947,0.1855188884064264,-0.006150320921826324,0.0025010844391256445
may-B,48,-0.16498986230711576,-0.03267477203647416,-0.002414426025797601,-0.0019471867257878847
jun-A,48,-0.06858880279377863,0.2372991749891446,-0.0064249872628411525,0.00995417542932342
